_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
26847,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T17:00:00,W Circuit Dr & Schenley Dr,Squirrel Hill South,4
26846,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-14T17:10:00,5600 block 2nd Ave,Hazelwood,4
26825,ARREST,907,Possessing Instruments of Crime.,2015-04-14T23:03:00,300 block Poplargrove St,Carrick,3
27020,OFFENSE 2.0,2701,Simple Assault.,2015-04-15T13:40:00,7900 block Inglenook Pl,Homewood South,5
26964,OFFENSE 2.0,2709,Harassment by Physical Contact  or Attempts or Threats,2015-04-15T19:30:00,Clarissa St & Lyon St,Upper Hill,2
