_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
27951,ARREST,3921,Theft by Unlawful Taking or Disposition.,2015-04-21T00:26:00,Manhattan St & Hamlin St,Manchester,1
28040,OFFENSE 2.0,8106,Shots Fired,2015-04-21T00:38:00,900 block N Lang Ave,Homewood North,5
28041,OFFENSE 2.0,7728,Accidents and Accident Reports.,2015-04-21T00:46:00,1000 block Brushton Ave,Homewood North,5
28042,OFFENSE 2.0,13(a)(31),Marijuana: Possession Small Amount,2015-04-21T00:46:00,1000 block Brushton Ave,Homewood North,5
28043,ARREST,13(a)(31),Marijuana: Possession Small Amount,2015-04-21T00:50:00,1000 block Brushton Ave,Homewood North,5
27996,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-21T01:03:00,300 block Amabell St,Mount Washington,3
27997,OFFENSE 2.0,2701(a)(3),Simple Assault - Attempts by Physical Menace ,2015-04-21T01:03:00,300 block Amabell St,Mount Washington,3
28044,OFFENSE 2.0,3701,Robbery.,2015-04-21T01:21:00,Frankstown Ave & Brushton Ave,Homewood North,5
28045,OFFENSE 2.0,2701(a)(3),Simple Assault - Attempts by Physical Menace ,2015-04-21T01:21:00,Frankstown Ave & Brushton Ave,Homewood North,5
28046,OFFENSE 2.0,901,Criminal Attempt,2015-04-21T01:21:00,Frankstown Ave & Brushton Ave,Homewood North,5
28047,OFFENSE 2.0,3924,Theft of Property Lost  Mislaid or Delivered by Mistake.,2015-04-21T02:00:00,7100 block Frankstown Ave,Homewood North,5
27952,OFFENSE 2.0,3503,Criminal Trespass,2015-04-21T02:45:00,1100 block Brabec St,Troy Hill-Herrs Island,1
27953,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-21T02:45:00,1100 block Brabec St,Troy Hill-Herrs Island,1
27998,OFFENSE 2.0,9497,Aided Case,2015-04-21T03:03:00,300 block Birmingham Ave,Carrick,3
27954,OFFENSE 2.0,9488,False  Burglar Alarm,2015-04-21T03:52:00,1200 block Liverpool St,Manchester,1
28048,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-21T04:00:00,7500 block Mulford St,Homewood South,5
27955,OFFENSE 2.0,9497,Aided Case,2015-04-21T04:40:00,2100 block Rhine St,Spring Hill-City View,1
27956,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-21T05:45:00,900 block Cedar Ave,East Allegheny,1
27957,OFFENSE 2.0,29,Missing Juvenile,2015-04-21T06:15:00,3800 block Brighton Rd,Brighton Heights,1
28061,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-21T06:45:00,600 block Hillsboro St,Sheraden,6
27999,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-04-21T07:00:00,2200 block Lutz Ave,Carrick,3
28049,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-21T07:00:00,6400 block Olivant St,Lincoln-Lemington-Belmar,5
27982,OFFENSE 2.0,9999,9999 - (Misc. Incident): 9999 - (Misc. Incident): ,2015-04-21T07:45:00,Forbes Ave & Smithfield St,Golden Triangle/Civic Arena,2
28029,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-21T07:45:00,3900 block Winterburn Ave,Greenfield,4
28062,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-21T07:50:00,3800 block Chartiers Ave,Windgap,6
27983,OFFENSE 2.0,4915,Failure to Comply with Megans Law,2015-04-21T08:00:00,Homeless,Bluff,2
28000,OFFENSE 2.0,4304(a)(1),Endangering Welfare of Children.,2015-04-21T08:00:00,100 block Redlyn St,Knoxville,3
27958,OFFENSE 2.0,2709(a),Harassment.,2015-04-21T09:00:00,3200 block Bainton St,Brighton Heights,1
28030,ARREST,3712,Abandonment and Stripping of Vehicles,2015-04-21T09:00:00,5100 block Langhorn St,Golden Triangle/Civic Arena,4
28031,ARREST,5101,Obstructing Admin. of Law ,2015-04-21T09:00:00,5100 block Langhorn St,Golden Triangle/Civic Arena,4
28032,ARREST,5503,Disorderly Conduct.,2015-04-21T09:00:00,5100 block Langhorn St,Golden Triangle/Civic Arena,4
28063,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-21T10:00:00,800 block Herschel St,Elliott,6
28001,ARREST,2702,Aggravated Assault.,2015-04-21T10:13:00,1700 block Larkins Way,Bluff,3
28064,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-21T10:51:00,2700 block Bergman St,Sheraden,6
28072,ARREST,3502,Burglary.,2015-04-21T11:15:00,200 block Washington St,Golden Triangle/Civic Arena,
28073,ARREST,3921,Theft by Unlawful Taking or Disposition.,2015-04-21T11:15:00,200 block Washington St,Golden Triangle/Civic Arena,
28074,ARREST,3925,Receiving Stolen Property.,2015-04-21T11:15:00,200 block Washington St,Golden Triangle/Civic Arena,
28075,ARREST,903,Criminal Conspiracy.,2015-04-21T11:15:00,200 block Washington St,Golden Triangle/Civic Arena,
28050,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-21T11:30:00,200 block S Fairmount St,Friendship,5
28051,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T11:30:00,200 block S Fairmount St,Friendship,5
27959,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-21T11:34:00,2400 block Snyder St,Perry South,1
27960,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-21T11:38:00,400 block Avery St,East Allegheny,1
27984,ARREST,3701,Robbery.,2015-04-21T11:50:00,600 block First Ave,East Liberty,2
28052,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T12:00:00,200 block S Fairmount St,Friendship,5
28053,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-21T12:00:00,200 block S Fairmount St,Friendship,5
28054,ARREST,5902(a)(2),Prostitution - Loitering for purpose of,2015-04-21T12:00:00,Bennett St & Brushton Ave,Homewood South,5
28055,ARREST,5902(a)(1),Prostitution ,2015-04-21T12:00:00,Bennett St & Brushton Ave,Homewood South,5
28065,OFFENSE 2.0,3924,Theft of Property Lost  Mislaid or Delivered by Mistake.,2015-04-21T12:00:00,600 block Hillsboro St,Sheraden,6
28066,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-21T12:15:00,1600 block Suburban Ave,Beechview,6
27961,ARREST,2701,Simple Assault.,2015-04-21T12:55:00,3200 block Richardson Ave,Marshall-Shadeland,1
27962,OFFENSE 2.0,3502,Burglary.,2015-04-21T13:13:00,3600 block Harbison Ave,Brighton Heights,1
28067,ARREST,4106,Access Device Fraud,2015-04-21T13:30:00,1300 block Jeffers St,Sheraden,6
28033,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-04-21T13:41:00,Timberline Ct,Squirrel Hill South,4
28034,OFFENSE 2.0,94951,Attempted Suicide,2015-04-21T13:45:00,3100 block Forbes Ave,South Oakland,4
28002,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T14:07:00,700 block Esther St,Allentown,3
28003,OFFENSE 2.0,7512,Criminal Use of Communication,2015-04-21T14:07:00,700 block Esther St,Allentown,3
28004,OFFENSE 2.0,4304(a)(1),Endangering Welfare of Children.,2015-04-21T14:07:00,700 block Esther St,Allentown,3
28005,OFFENSE 2.0,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-04-21T14:14:00,2300 block Brownsville Rd,Carrick,3
28006,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-21T14:14:00,2300 block Brownsville Rd,Carrick,3
28007,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-04-21T14:14:00,2300 block Brownsville Rd,Carrick,3
28008,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-21T14:14:00,2300 block Brownsville Rd,Carrick,3
28009,ARREST,7512,Criminal Use of Communication,2015-04-21T14:30:00,700 block Esther St,Allentown,3
28010,ARREST,4304(a)(1),Endangering Welfare of Children.,2015-04-21T14:30:00,700 block Esther St,Allentown,3
28011,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T14:30:00,700 block Esther St,Allentown,3
28012,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T14:30:00,700 block Esther St,Allentown,3
28013,ARREST,7512,Criminal Use of Communication,2015-04-21T14:30:00,700 block Esther St,Allentown,3
28014,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T14:30:00,700 block Esther St,Allentown,3
27985,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-21T15:00:00,600 block Perry St,Middle Hill,2
28035,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-04-21T15:00:00,3100 block Ellers St,West Oakland,4
28076,OFFENSE 2.0,29,Missing Juvenile,2015-04-21T15:00:00,500 block 2nd St,Outside State,
27963,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-21T15:03:00,Perrysville Ave & Hemphill St,Perry North,1
28015,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-21T15:08:00,200 block E Agnew Ave,Carrick,3
28016,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-21T15:30:00,200 block Chalfont St,Beltzhoover,3
28017,OFFENSE 2.0,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-21T15:45:00,100 block Virginia Ave,Mount Washington,3
28056,OFFENSE 2.0,3929,Retail Theft.,2015-04-21T15:49:00,4400 block Howley St,Bloomfield,5
28018,OFFENSE 2.0,4120,Identity Theft,2015-04-21T16:00:00,100 block W Sycamore St,Mount Washington,3
28019,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-04-21T16:05:00,2000 block Sarah St,South Side Flats,3
28036,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-04-21T16:08:00,S Negley Ave & Centre Ave,Shadyside,4
28037,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-21T16:08:00,S Negley Ave & Centre Ave,Shadyside,4
27964,OFFENSE 2.0,2702,Aggravated Assault.,2015-04-21T16:10:00,3700 block Colby St,Summer Hill,1
27965,ARREST,2702,Aggravated Assault.,2015-04-21T16:15:00,3700 block Colby St,Summer Hill,1
28038,OFFENSE 2.0,5503(a)(1),DISORDERLY CONDUCT - ENGAGE IN FIGHTING,2015-04-21T16:20:00,500 block Courtland St,Hazelwood,4
28057,OFFENSE 2.0,3929,Retail Theft.,2015-04-21T16:32:00,900 block Freeport Rd,Homewood North,5
28058,OFFENSE 2.0,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,2015-04-21T16:32:00,400 block S Aiken Ave,Bloomfield,5
27966,OFFENSE 2.0,5507,Obstructing Highways and Passages.,2015-04-21T16:34:00,East St & Mt Pleasant Rd,Perry North,1
27967,OFFENSE 2.0,5505,Public Drunkenness,2015-04-21T16:34:00,East St & Mt Pleasant Rd,Perry North,1
28059,OFFENSE 2.0,3743,Accidents Involving Damage to Attended Veh. or Property,2015-04-21T16:43:00,Penn Ave & Centre Ave,East Liberty,5
27968,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T16:55:00,300 block Cedar Ave,East Allegheny,1
27969,OFFENSE 2.0,4914,False Identification to Law Enforcement Authorities,2015-04-21T16:55:00,300 block Cedar Ave,East Allegheny,1
27970,OFFENSE 2.0,5503,Disorderly Conduct.,2015-04-21T16:55:00,300 block Cedar Ave,East Allegheny,1
27986,OFFENSE 2.0,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,2015-04-21T16:55:00,Liberty Tunl,South Side Flats,2
27987,OFFENSE 2.0,2705,Recklessly Endangering Another Person.,2015-04-21T16:55:00,Liberty Tunl,South Side Flats,2
27988,OFFENSE 2.0,2701(a)(3),Simple Assault - Attempts by Physical Menace ,2015-04-21T16:55:00,Liberty Tunl,South Side Flats,2
27971,OFFENSE 2.0,9124,Drug Investigation,2015-04-21T17:00:00,1500 block Brighton Rd,California-Kirkbride,1
27972,OFFENSE 2.0,9999,9999 - (Misc. Incident): Detergent in child's face,2015-04-21T17:00:00,200 block East Ohio St,Allegheny Center,1
28068,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-21T17:00:00,2100 block Pioneer Ave,Brookline,6
27973,ARREST,5503,Disorderly Conduct.,2015-04-21T17:02:00,300 block Cedar Ave,East Allegheny,1
27974,ARREST,3929,Retail Theft.,2015-04-21T17:02:00,500 block East Ohio St,East Allegheny,1
27975,ARREST,4914,False Identification to Law Enforcement Authorities,2015-04-21T17:02:00,300 block Cedar Ave,East Allegheny,1
27976,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T17:02:00,300 block Cedar Ave,East Allegheny,1
28069,OFFENSE 2.0,9489,Found Property,2015-04-21T17:05:00,2900 block Chartiers Ave,Sheraden,6
28020,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-21T17:46:00,Estella Ave & Freeland St,Beltzhoover,3
28021,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T17:46:00,Estella Ave & Freeland St,Beltzhoover,3
28022,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-21T17:46:00,Estella Ave & Freeland St,Beltzhoover,3
28023,OFFENSE 2.0,3334,Turning Movements and Required Signals.,2015-04-21T17:46:00,Estella Ave & Freeland St,Beltzhoover,3
28024,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T17:46:00,Estella Ave & Freeland St,Beltzhoover,3
28025,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-21T17:47:00,Estella Ave & Freeland St,Beltzhoover,3
28026,ARREST,3334,Turning Movements and Required Signals.,2015-04-21T17:47:00,Estella Ave & Freeland St,Beltzhoover,3
28070,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T18:09:00,Faulkner St & Allendorf St,Sheraden,6
28071,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-21T18:09:00,Faulkner St & Allendorf St,Sheraden,6
28039,OFFENSE 2.0,2706,Terroristic Threats.,2015-04-21T18:11:00,400 block East End Ave,Point Breeze,4
27977,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-04-21T18:19:00,1800 block Lowrie St,Troy Hill-Herrs Island,1
27978,ARREST,2701,Simple Assault.,2015-04-21T18:30:00,600 block Pressley St,East Allegheny,1
28027,OFFENSE 2.0,3701,Robbery.,2015-04-21T18:40:00,800 block E Warrington Ave,Allentown,3
27989,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-04-21T18:54:00,2200 block Bedford Ave,Bedford Dwellings,2
