_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
21194,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-03-11T16:06:00,Bausman St & Bernd St,Beltzhoover,3
21195,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-03-11T16:06:00,Bausman St & Bernd St,Beltzhoover,3
21196,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-03-11T16:06:00,Bausman St & Bernd St,Beltzhoover,3
21197,ARREST,13(a)(16),Possession of Controlled Substance,2015-03-11T16:06:00,Bausman St & Bernd St,Beltzhoover,3
21198,ARREST,3334,Turning Movements and Required Signals.,2015-03-11T16:06:00,Bausman St & Bernd St,Beltzhoover,3
21100,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-03-11T16:19:00,2100 block Rhine St,Spring Hill-City View,1
21246,ARREST,3922,Theft by Deception.,2015-03-11T16:20:00,7100 block Lemington Ave,Lincoln-Lemington-Belmar,5
21247,ARREST,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-03-11T16:20:00,7100 block Lemington Ave,Lincoln-Lemington-Belmar,5
21248,ARREST,517.8,Home Improvement Fraud,2015-03-11T16:20:00,7100 block Lemington Ave,Lincoln-Lemington-Belmar,5
21101,OFFENSE 2.0,2910,Luring a Child into a Motor Vehicle.,2015-03-11T16:39:00,3500 block California Ave,Brighton Heights,1
21251,OFFENSE 2.0,4910,Tampering with or Fabricating Physical Evidence.,2015-03-11T16:46:00,Larimer Ave & Broad St,East Liberty,5
21252,OFFENSE 2.0,4703,Operation of Vehicle without Official Certif. of Inspection,2015-03-11T16:46:00,Larimer Ave & Broad St,East Liberty,5
21253,OFFENSE 2.0,4523,Exhaust Systems  Mufflers and Noise Control.,2015-03-11T16:46:00,Larimer Ave & Broad St,East Liberty,5
21254,OFFENSE 2.0,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-03-11T16:46:00,Larimer Ave & Broad St,East Liberty,5
21255,OFFENSE 2.0,1501,Drivers Required to be Licensed.,2015-03-11T16:46:00,Larimer Ave & Broad St,East Liberty,5
21256,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-03-11T16:46:00,Larimer Ave & Broad St,East Liberty,5
21249,OFFENSE 2.0,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-03-11T16:46:00,Larimer Ave & Broad St,East Liberty,5
21250,OFFENSE 2.0,9501,Bench Warrant,2015-03-11T16:46:00,Larimer Ave & Broad St,East Liberty,5
21102,OFFENSE 2.0,3304,Criminal Mischief.,2015-03-11T16:55:00,500 block East Ohio St,East Allegheny,1
21257,ARREST,13(a)(16),Possession of Controlled Substance,2015-03-11T16:57:00,Larimer Ave & Broad St,East Liberty,5
21258,ARREST,4910,Tampering with or Fabricating Physical Evidence.,2015-03-11T16:57:00,Larimer Ave & Broad St,East Liberty,5
21259,ARREST,1501,Drivers Required to be Licensed.,2015-03-11T16:57:00,Larimer Ave & Broad St,East Liberty,5
21260,ARREST,9501,Bench Warrant,2015-03-11T16:57:00,Larimer Ave & Broad St,East Liberty,5
21261,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-03-11T16:57:00,Larimer Ave & Broad St,East Liberty,5
21262,ARREST,4703,Operation of Vehicle without Official Certif. of Inspection,2015-03-11T16:57:00,Larimer Ave & Broad St,East Liberty,5
21263,ARREST,4523,Exhaust Systems  Mufflers and Noise Control.,2015-03-11T16:57:00,Larimer Ave & Broad St,East Liberty,5
21264,ARREST,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-03-11T16:57:00,Larimer Ave & Broad St,East Liberty,5
21235,OFFENSE 2.0,901,Criminal Attempt,2015-03-11T17:00:00,4300 block Winterburn Ave,Greenfield,4
21236,OFFENSE 2.0,3923,Theft by Extortion.,2015-03-11T17:00:00,4300 block Winterburn Ave,Greenfield,4
21103,OFFENSE 2.0,3304,Criminal Mischief.,2015-03-11T17:15:00,1200 block Sandusky St N,Central Northside,1
21104,OFFENSE 2.0,2702,Aggravated Assault.,2015-03-11T17:15:00,1200 block Sandusky St N,Central Northside,1
21105,OFFENSE 2.0,2705,Recklessly Endangering Another Person.,2015-03-11T17:15:00,1200 block Sandusky St N,Central Northside,1
21199,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-03-11T17:30:00,400 block Boggs Ave,Mount Washington,3
21200,OFFENSE 2.0,9489,Found Property,2015-03-11T17:55:00,Kathleen St & Laclede St,Mount Washington,3
21106,OFFENSE 2.0,3502,Burglary.,2015-03-11T18:00:00,2400 block Perrysville Ave,Perry South,1
21201,ARREST,13(a)(16),Possession of Controlled Substance,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21202,ARREST,13(a)(16),Possession of Controlled Substance,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21203,ARREST,13(a)(16),Possession of Controlled Substance,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21204,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21205,ARREST,13(a)(16),Possession of Controlled Substance,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21206,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21207,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21208,ARREST,13(a)(16),Possession of Controlled Substance,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21209,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21210,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-03-11T18:00:00,100 block Kirk Ave,Carrick,3
21285,OFFENSE 2.0,3922,Theft by Deception.,2015-03-11T18:00:00,700 block Bucyrus St,Elliott,6
21265,OFFENSE 2.0,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,2015-03-11T18:15:00,1100 block Paulson Ave,Lincoln-Lemington-Belmar,5
21266,OFFENSE 2.0,2701(a)(3),Simple Assault - Attempts by Physical Menace ,2015-03-11T18:15:00,1100 block Paulson Ave,Lincoln-Lemington-Belmar,5
21107,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-03-11T18:43:00,1600 block Sandusky Ct,Fineview,1
21108,ARREST,4910,Tampering with or Fabricating Physical Evidence.,2015-03-11T18:43:00,1600 block Sandusky Ct,Fineview,1
21109,ARREST,3928,Unauthorized Use of Automobile and Other Vehicles.,2015-03-11T18:43:00,1600 block Sandusky Ct,Fineview,1
21110,ARREST,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-03-11T18:43:00,1600 block Sandusky Ct,Fineview,1
