_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
25891,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-10T03:40:00,300 block East Ohio St,Allegheny Center,1
25944,OFFENSE 2.0,3929(a)(1),Retail Theft; takes possession of  carries away  or transfers displayed merchandise,2015-04-10T12:50:00,300 block 5th Ave,Golden Triangle/Civic Arena,2
25409,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-10T15:30:00,500 block mt Pleasant Rd,Northview Heights,1
