_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
20914,OFFENSE 2.0,2701,Simple Assault.,2015-03-10T06:18:00,600 block Seagirt St,East Hills,5
20988,OFFENSE 2.0,2701,Simple Assault.,2015-03-10T06:18:00,600 block Seagirt St,East Hills,5
21058,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-03-10T11:30:00,2500 block Wenzell Ave,Beechview,6
20966,OFFENSE 2.0,13(a)(31),Marijuana: Possession Small Amount,2015-03-10T12:05:00,Walrus St & 2nd Ave,Hazelwood,4
12345,ARREST,9999,Alien Invasion: Little Green Men,2015-03-14T04:20:00,Everywhere,Outside area,
21139,OFFENSE 2.0,2501,Criminal Homicide.,2015-03-11T11:20:00,4200 block Dunkeld Way,Central Lawrenceville,2
