_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
27701,OFFENSE 2.0,2702,Aggravated Assault.,2015-04-19T02:57:00,300 block Climax St,Beltzhoover,3
27702,OFFENSE 2.0,5503,Disorderly Conduct.,2015-04-19T02:57:00,300 block Climax St,Beltzhoover,3
27410,ARREST,2709(a),Harassment.,2015-04-19T03:15:00,300 block Climax St,Beltzhoover,3
27560,ARREST,2706,Terroristic Threats.,2015-04-19T03:15:00,300 block Climax St,Beltzhoover,3
27666,ARREST,2702,Aggravated Assault.,2015-04-19T03:15:00,300 block Climax St,Beltzhoover,3
27703,ARREST,5503,Disorderly Conduct.,2015-04-19T03:15:00,300 block Climax St,Beltzhoover,3
26416,OFFENSE 2.0,3743,Accidents Involving Damage to Attended Veh. or Property,2015-04-19T03:28:00,7th St & Grant St,Golden Triangle/Civic Arena,2
27704,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-04-19T03:34:00,E Warrington Ave & boggston Ave,Beltzhoover,3
26417,OFFENSE 2.0,2701,Simple Assault.,2015-04-19T03:41:00,3900 block Mintwood St,Lower Lawrenceville,2
26418,ARREST,3714,Careless Driving,2015-04-19T03:46:00,Smithfield St & Fort Pitt Blvd,Golden Triangle/Civic Arena,2
26419,ARREST,3802(a)(1),DUI - General Impairment,2015-04-19T03:46:00,Smithfield St & Fort Pitt Blvd,Golden Triangle/Civic Arena,2
26420,OFFENSE 2.0,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-19T03:46:00,Smithfield St & Fort Pitt Blvd,Golden Triangle/Civic Arena,2
27658,ARREST,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-19T03:46:00,Smithfield St & Fort Pitt Blvd,Golden Triangle/Civic Arena,2
27659,OFFENSE 2.0,3714,Careless Driving,2015-04-19T03:46:00,Smithfield St & Fort Pitt Blvd,Golden Triangle/Civic Arena,2
27660,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-04-19T03:46:00,Smithfield St & Fort Pitt Blvd,Golden Triangle/Civic Arena,2
27661,ARREST,2701,Simple Assault.,2015-04-19T03:56:00,3900 block Mintwood St,Lower Lawrenceville,2
27758,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-19T04:01:00,Apple Ave & Grotto St,Lincoln-Lemington-Belmar,5
27759,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-19T04:03:00,Apple Ave & Grotto St,Lincoln-Lemington-Belmar,5
27705,OFFENSE 2.0,2705,Recklessly Endangering Another Person.,2015-04-19T04:37:00,400 block Rochelle St,Knoxville,3
27706,OFFENSE 2.0,3701,Robbery.,2015-04-19T04:37:00,400 block Rochelle St,Knoxville,3
27662,OFFENSE 2.0,3304(a)(4),CRIMINAL MISCHIEF- Intentionally Damage Property (By Graffiti  Aerosol Spray Paint  Broad Tip Marker  or Similar),2015-04-19T06:00:00,900 block Penn Ave,Golden Triangle/Civic Arena,2
27620,OFFENSE 2.0,9488,False  Burglar Alarm,2015-04-19T07:33:00,200 block Kennedy Ave,Perry South,1
27621,OFFENSE 2.0,2701,Simple Assault.,2015-04-19T08:25:00,1500 block Eckert St,Marshall-Shadeland,1
27745,OFFENSE 2.0,3701,Robbery.,2015-04-19T08:50:00,7600 block Penn Ave,Point Breeze,4
27622,ARREST,2701,Simple Assault.,2015-04-19T09:00:00,1500 block Eckert St,Marshall-Shadeland,1
27623,ARREST,2701,Simple Assault.,2015-04-19T09:00:00,1500 block Eckert St,Marshall-Shadeland,1
27761,OFFENSE 2.0,2701(a)(1),Simple Assault - Intent.  Know.  Reckless.Cause Bod. Injury,2015-04-19T09:00:00,7100 block Tilden St,Lincoln-Lemington-Belmar,5
27762,OFFENSE 2.0,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-19T09:00:00,6700 block Kelly St,Homewood West,5
27763,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-19T09:25:00,2200 block East Hills Dr,East Hills,5
27746,OFFENSE 2.0,9489,Found Property,2015-04-19T09:30:00,600 block Kirtland St,Point Breeze,4
27624,OFFENSE 2.0,2701,Simple Assault.,2015-04-19T09:31:00,2100 block Straubs Ln,Troy Hill-Herrs Island,1
27625,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-19T09:31:00,2100 block Straubs Ln,Troy Hill-Herrs Island,1
27626,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-19T10:00:00,1700 block Brighton Pl,California-Kirkbride,1
27764,OFFENSE 2.0,2709(a),Harassment.,2015-04-19T10:00:00,4700 block Yew St,Bloomfield,5
27776,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-04-19T10:00:00,800 block Chartiers Ave,Elliott,6
27627,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-04-19T10:15:00,500 block Mairdale Ave,Perry North,1
27628,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-19T10:20:00,200 block North Shore Dr,North Shore,1
27747,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-19T10:30:00,300 block Lacy Way,Point Breeze,4
27777,OFFENSE 2.0,9497,Aided Case,2015-04-19T10:30:00,1500 block Fallowfield Ave,Beechview,6
27765,OFFENSE 2.0,4304(a)(1),Endangering Welfare of Children.,2015-04-19T10:35:00,Fleury Way & Zenith Way,Homewood South,5
27707,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-19T11:00:00,200 block Kramer Way,Mount Washington,3
27708,OFFENSE 2.0,9490,Missing Persons (18 and Over),2015-04-19T11:00:00,S 9th St,South Side Flats,3
27766,OFFENSE 2.0,2709(b),Stalking,2015-04-19T11:16:00,6000 block St Marie St,East Liberty,5
27767,OFFENSE 2.0,3304(a)(1),CRIMINAL MISCHIEF-Prop Damage By Fire  Explosives  or Other Dangerous Means,2015-04-19T11:16:00,6000 block St Marie St,East Liberty,5
27768,OFFENSE 2.0,2709(a)(4),Harassment Communicates Prohibited Acts,2015-04-19T11:16:00,6000 block St Marie St,East Liberty,5
27769,OFFENSE 2.0,2706,Terroristic Threats.,2015-04-19T11:16:00,6000 block St Marie St,East Liberty,5
27663,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-19T11:40:00,3700 block Liberty Ave,Lower Lawrenceville,2
27563,ARREST,3502,Burglary.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27709,ARREST,3925,Receiving Stolen Property.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27710,ARREST,903,Criminal Conspiracy.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27711,ARREST,3502,Burglary.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27712,ARREST,3925,Receiving Stolen Property.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27713,ARREST,903,Criminal Conspiracy.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27714,ARREST,3502,Burglary.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27715,ARREST,3925,Receiving Stolen Property.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27716,ARREST,903,Criminal Conspiracy.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27717,ARREST,3502,Burglary.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27718,ARREST,3925,Receiving Stolen Property.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27719,ARREST,903,Criminal Conspiracy.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27720,OFFENSE 2.0,3502,Burglary.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27721,OFFENSE 2.0,3925,Receiving Stolen Property.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27722,OFFENSE 2.0,903,Criminal Conspiracy.,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27723,OFFENSE 2.0,9501,Bench Warrant,2015-04-19T12:20:00,2100 block Saw Mill Run Blvd,Overbrook,3
27748,OFFENSE 2.0,3502,Burglary.,2015-04-19T12:39:00,6300 block Howe St,Shadyside,4
27629,OFFENSE 2.0,3743,Accidents Involving Damage to Attended Veh. or Property,2015-04-19T13:15:00,East Ohio St & Cedar Ave,Allegheny Center,1
27749,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-04-19T13:36:00,100 block Tecumseh St,Hazelwood,4
27630,OFFENSE 2.0,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-19T13:45:00,100 block Federal St S,North Shore,1
27631,OFFENSE 2.0,3503.B1I,DEF. TRESPASS ACTUAL COMMUNICATION,2015-04-19T13:45:00,100 block Federal St S,North Shore,1
27750,OFFENSE 2.0,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,2015-04-19T14:30:00,2000 block De Ruad St,West Oakland,4
27578,OFFENSE 2.0,29,Missing Juvenile,2015-04-19T15:00:00,300 block Walter St,Allentown,3
27632,ARREST,2701,Simple Assault.,2015-04-19T15:00:00,2100 block Straubs Ln,Troy Hill-Herrs Island,1
27633,ARREST,3304,Criminal Mischief.,2015-04-19T15:00:00,2100 block Straubs Ln,Troy Hill-Herrs Island,1
27724,ARREST,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,2015-04-19T15:05:00,200 block Jucunda St,Knoxville,3
27725,OFFENSE 2.0,2701,Simple Assault.,2015-04-19T15:05:00,200 block Jucunda St,Knoxville,3
27726,OFFENSE 2.0,2709(a)(1),Harassment by Physical Contact  or Attempts or Threats,2015-04-19T15:05:00,200 block Jucunda St,Knoxville,3
27727,ARREST,2701,Simple Assault.,2015-04-19T15:05:00,200 block Jucunda St,Knoxville,3
27691,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-19T15:30:00,400 block Walter St,Allentown,3
27770,OFFENSE 2.0,3304(a)(5),CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2015-04-19T15:30:00,1200 block Grotto St,Lincoln-Lemington-Belmar,5
27634,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-19T15:32:00,Brighton Rd & Riversea St,Central Northside,1
27778,OFFENSE 2.0,9999,9999 - (Misc. Incident): Hazardous animal ,2015-04-19T15:35:00,100 block Violet Way,West End,6
27582,OFFENSE 2.0,5505,Public Drunkenness,2015-04-19T15:45:00,2200 block Dellrose St,Carrick,3
27635,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-19T16:00:00,300 block Cedar Ave,East Allegheny,1
27636,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-19T16:00:00,300 block Cedar Ave,East Allegheny,1
27771,OFFENSE 2.0,29,Missing Juvenile,2015-04-19T16:00:00,900 block N Negley Ave,Highland Park,5
27728,OFFENSE 2.0,2705,Recklessly Endangering Another Person.,2015-04-19T16:04:00,Marland St & Knox Ave,Knoxville,3
27729,OFFENSE 2.0,2702,Aggravated Assault.,2015-04-19T16:04:00,Marland St & Knox Ave,Knoxville,3
27637,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-19T16:05:00,300 block Cedar Ave,East Allegheny,1
27638,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-19T16:05:00,300 block Cedar Ave,East Allegheny,1
27730,OFFENSE 2.0,9497,Aided Case,2015-04-19T16:10:00,10th St Brg & 2nd Ave,South Side Flats,3
27779,OFFENSE 2.0,3922,Theft by Deception.,2015-04-19T16:27:00,2200 block Noblestown Rd,Westwood,6
27731,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-19T16:35:00,Glenbury St,Overbrook,3
27751,OFFENSE 2.0,9999,9999 - (Misc. Incident): Kids in abandoned property. ,2015-04-19T17:00:00,300 block Renova St,Hazelwood,4
27772,ARREST,9501,Bench Warrant,2015-04-19T17:00:00,Brushton Ave & Mulford St,Homewood South,5
27664,OFFENSE 2.0,3743,Accidents Involving Damage to Attended Veh. or Property,2015-04-19T17:10:00,100 block 6th St,Golden Triangle/Civic Arena,2
27732,OFFENSE 2.0,2709(a)(3),Harassment No Legitimate Purpose,2015-04-19T17:23:00,200 block Jucunda St,Knoxville,3
27760,OFFENSE 2.0,9999,9999 - (Misc. Incident): Structure Fire,2015-04-19T17:25:00,900 block Wilhelm St,Elliott,6
27773,OFFENSE 2.0,9501,Bench Warrant,2015-04-19T17:30:00,Brushton Ave & Mulford St,Homewood South,5
27774,OFFENSE 2.0,29,Missing Juvenile,2015-04-19T17:30:00,5100 block Hillcrest St,Garfield,5
27665,OFFENSE 2.0,5503,Disorderly Conduct.,2015-04-19T17:37:00,200 block 5th Ave,Golden Triangle/Civic Arena,2
27667,OFFENSE 2.0,7303,Sale or Illegal Use of Certain Solvents.,2015-04-19T17:37:00,200 block 5th Ave,Golden Triangle/Civic Arena,2
27668,ARREST,5503,Disorderly Conduct.,2015-04-19T17:38:00,200 block 5th Ave,Golden Triangle/Civic Arena,2
27669,ARREST,7303,Sale or Illegal Use of Certain Solvents.,2015-04-19T17:38:00,200 block 5th Ave,Golden Triangle/Civic Arena,2
27639,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-19T17:40:00,East Ohio St & East St,East Allegheny,1
27640,OFFENSE 2.0,5507,Obstructing Highways and Passages.,2015-04-19T17:40:00,East Ohio St & East St,East Allegheny,1
27641,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-19T17:43:00,East Ohio St & East St,East Allegheny,1
27642,ARREST,5507,Obstructing Highways and Passages.,2015-04-19T17:43:00,East Ohio St & East St,East Allegheny,1
27733,OFFENSE 2.0,2709(a),Harassment.,2015-04-19T17:50:00,300 block Virginia Ave,Mount Washington,3
27643,OFFENSE 2.0,3334,Turning Movements and Required Signals.,2015-04-19T18:25:00,300 block Marshall Ave,Perry South,1
27644,OFFENSE 2.0,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-04-19T18:25:00,300 block Marshall Ave,Perry South,1
27645,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-19T18:25:00,300 block Marshall Ave,Perry South,1
26406,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-19T18:30:00,300 block Marshall Ave,Perry South,1
27646,ARREST,3334,Turning Movements and Required Signals.,2015-04-19T18:30:00,300 block Marshall Ave,Perry South,1
27647,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-04-19T18:30:00,300 block Marshall Ave,Perry South,1
26407,OFFENSE 2.0,3502,Burglary.,2015-04-19T18:35:00,4000 block Oswald St,Brighton Heights,1
27780,OFFENSE 2.0,3334,Turning Movements and Required Signals.,2015-04-19T20:23:00,Cape May Ave & Kenberma Ave,Beechview,6
27781,ARREST,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-19T20:23:00,Cape May Ave & Kenberma Ave,Beechview,6
27782,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-04-19T20:23:00,Cape May Ave & Kenberma Ave,Beechview,6
27783,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-19T20:23:00,Cape May Ave & Kenberma Ave,Beechview,6
27784,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-04-19T20:23:00,Cape May Ave & Kenberma Ave,Beechview,6
27785,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-19T20:23:00,Cape May Ave & Kenberma Ave,Beechview,6
27786,ARREST,3334,Turning Movements and Required Signals.,2015-04-19T20:23:00,Cape May Ave & Kenberma Ave,Beechview,6
27787,OFFENSE 2.0,1543,Driving While Operating Privilege is Suspended or Revoked.,2015-04-19T20:23:00,Cape May Ave & Kenberma Ave,Beechview,6
27734,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-04-19T20:45:00,3200 block E Carson St,South Side Flats,3
27735,OFFENSE 2.0,3743,Accidents Involving Damage to Attended Veh. or Property,2015-04-19T20:45:00,3200 block E Carson St,South Side Flats,3
27736,OFFENSE 2.0,13(a)(31),Marijuana: Possession Small Amount,2015-04-19T20:45:00,3200 block E Carson St,South Side Flats,3
27737,OFFENSE 2.0,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-19T20:45:00,3200 block E Carson St,South Side Flats,3
27738,ARREST,13(a)(31),Marijuana: Possession Small Amount,2015-04-19T20:50:00,3200 block E Carson St,South Side Flats,3
27739,ARREST,3743,Accidents Involving Damage to Attended Veh. or Property,2015-04-19T20:50:00,3200 block E Carson St,South Side Flats,3
27740,ARREST,3802(a)(1),DUI - General Impairment,2015-04-19T20:50:00,3200 block E Carson St,South Side Flats,3
27741,ARREST,3802(c),DUI - Highest Rate of Alcohol - BAC >= .16%,2015-04-19T20:50:00,3200 block E Carson St,South Side Flats,3
26408,OFFENSE 2.0,9501,Bench Warrant,2015-04-19T20:51:00,California Ave & A St,California-Kirkbride,1
27670,OFFENSE 2.0,2701,Simple Assault.,2015-04-19T20:59:00,200 block Oakhill St,Golden Triangle/Civic Arena,2
27671,OFFENSE 2.0,4304(a)(1),Endangering Welfare of Children.,2015-04-19T20:59:00,200 block Oakhill St,Golden Triangle/Civic Arena,2
27672,OFFENSE 2.0,2702,Aggravated Assault.,2015-04-19T20:59:00,200 block Oakhill St,Golden Triangle/Civic Arena,2
26409,ARREST,9501,Bench Warrant,2015-04-19T21:00:00,California Ave & A St,California-Kirkbride,1
26410,OFFENSE 2.0,2702,Aggravated Assault.,2015-04-19T21:43:00,100 block Overbeck St,Spring Hill-City View,1
26411,OFFENSE 2.0,2705,Recklessly Endangering Another Person.,2015-04-19T21:43:00,100 block Overbeck St,Spring Hill-City View,1
27673,ARREST,2702,Aggravated Assault.,2015-04-19T21:45:00,200 block Oakhill St,Golden Triangle/Civic Arena,2
27674,ARREST,2701,Simple Assault.,2015-04-19T21:45:00,200 block Oakhill St,Golden Triangle/Civic Arena,2
27675,ARREST,4304(a)(1),Endangering Welfare of Children.,2015-04-19T21:45:00,200 block Oakhill St,Golden Triangle/Civic Arena,2
27878,OFFENSE 2.0,4106,Access Device Fraud,2015-04-20T00:01:00,1400 block Severn St,Squirrel Hill North,4
27879,OFFENSE 2.0,3924,Theft of Property Lost  Mislaid or Delivered by Mistake.,2015-04-20T00:01:00,1400 block Severn St,Squirrel Hill North,4
27788,OFFENSE 2.0,9490,Missing Persons (18 and Over),2015-04-20T00:05:00,3800 block Brighton Rd,Brighton Heights,1
27789,OFFENSE 2.0,29,Missing Juvenile,2015-04-20T00:07:00,4000 block Perrysville Ave,Perry North,1
27935,OFFENSE 2.0,5506,Loitering and Prowling at Night,2015-04-20T00:10:00,3400 block Middletown Rd,Windgap,6
27867,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-20T00:52:00,Allen St,Allentown,3
27868,OFFENSE 2.0,2707.1,Discharge of a Firearm into Occupied Structure,2015-04-20T00:52:00,Allen St,Allentown,3
27936,OFFENSE 2.0,9498,302 (Mental),2015-04-20T01:15:00,1200 block Oakglen St,Crafton Heights,6
27880,OFFENSE 2.0,3802(a)(1),DUI - General Impairment,2015-04-20T01:41:00,4700 block Ellsworth Ave,Shadyside,4
27881,ARREST,3802(a)(1),DUI - General Impairment,2015-04-20T02:01:00,4700 block Ellsworth Ave,Shadyside,4
27790,OFFENSE 2.0,9488,False  Burglar Alarm,2015-04-20T04:50:00,1900 block Clayton Ave,Perry South,1
27842,OFFENSE 2.0,3304(a)(5),CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,2015-04-20T05:10:00,4800 block Hatfield St,Central Lawrenceville,2
27937,OFFENSE 2.0,3736,Reckless Driving,2015-04-20T05:23:00,West End Cir & Steuben St,West End,6
27938,OFFENSE 2.0,3743,Accidents Involving Damage to Attended Veh. or Property,2015-04-20T05:23:00,West End Cir & Steuben St,West End,6
27843,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-20T05:51:00,100 block 48th St,Central Lawrenceville,2
27791,OFFENSE 2.0,9488,False  Burglar Alarm,2015-04-20T06:15:00,800 block Riversea Rd,Central Northside,1
27844,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-20T06:15:00,100 block 41st St,Central Lawrenceville,2
27358,OFFENSE 2.0,9497,Aided Case,2015-04-20T06:40:00,200 block Jumonville St,Bluff,2
27845,OFFENSE 2.0,9498,302 (Mental),2015-04-20T06:40:00,200 block Jumonville St,Bluff,2
27846,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-20T07:00:00,100 block 45th St,Central Lawrenceville,2
27882,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-20T07:00:00,5800 block Alder St,Shadyside,4
27939,OFFENSE 2.0,2709,Harassment (Non-Specific),2015-04-20T07:20:00,1400 block Harlow St,Chartiers City,6
