_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
25434,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-07T00:30:00,2600 block Ivyglen St,Overbrook,3
24907,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-07T01:19:00,700 block 2nd Ave,Golden Triangle/Civic Arena,2
25365,OFFENSE 2.0,2709(a),Harassment.,2015-04-07T01:25:00,800 block Mt Pleasant Rd,Northview Heights,1
25366,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-07T01:25:00,800 block Mt Pleasant Rd,Northview Heights,1
25367,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-07T01:25:00,800 block Mt Pleasant Rd,Northview Heights,1
24908,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-07T02:00:00,900 block Exchange Way,Golden Triangle/Civic Arena,2
25476,OFFENSE 2.0,9504,Lost Property,2015-04-07T02:00:00,200 block S Highland Ave,Shadyside,4
25368,OFFENSE 2.0,3701,Robbery.,2015-04-07T02:01:00,300 block Lafayette Ave,Fineview South,1
25435,ARREST,3925,Receiving Stolen Property.,2015-04-07T02:06:00,Bailey Ave,Mount Washington,3
25436,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-07T02:06:00,Charles St & Grimes Ave,Knoxville,3
25437,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-07T02:06:00,Charles St & Grimes Ave,Knoxville,3
25438,ARREST,3922,Theft by Deception.,2015-04-07T02:06:00,Bailey Ave,Mount Washington,3
25439,ARREST,13(a)(12),Obtaining Cont. Subst. by Fraudulent Means,2015-04-07T02:06:00,Bailey Ave,Mount Washington,3
25440,OFFENSE 2.0,3925,Receiving Stolen Property.,2015-04-07T02:06:00,Bailey Ave,Mount Washington,3
25441,OFFENSE 2.0,3922,Theft by Deception.,2015-04-07T02:06:00,Bailey Ave,Mount Washington,3
25442,OFFENSE 2.0,13(a)(12),Obtaining Cont. Subst. by Fraudulent Means,2015-04-07T02:06:00,Bailey Ave,Mount Washington,3
25369,OFFENSE 2.0,29,Missing Juvenile,2015-04-07T03:00:00,4000 block Perrysville Ave,Perry North,1
25371,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-07T03:31:00,900 block Davis Ave,Brighton Heights,1
25443,OFFENSE 2.0,5503,Disorderly Conduct.,2015-04-07T04:00:00,1100 block E carson St,South Side Flats,3
25444,OFFENSE 2.0,3503(b)(1)(i),Actual Communication,2015-04-07T04:00:00,1100 block E carson St,South Side Flats,3
25445,OFFENSE 2.0,2706,Terroristic Threats.,2015-04-07T04:00:00,1100 block E carson St,South Side Flats,3
25522,OFFENSE 2.0,9501,Bench Warrant,2015-04-07T04:05:00,300 block LaMarido St,Brookline,6
24909,OFFENSE 2.0,3502,Burglary.,2015-04-07T04:28:00,900 block Penn Ave,Golden Triangle/Civic Arena,2
25427,ARREST,5503,Disorderly Conduct.,2015-04-07T04:30:00,1100 block E carson St,South Side Flats,3
25446,ARREST,3503(b)(1)(i),Actual Communication,2015-04-07T04:30:00,1100 block E carson St,South Side Flats,3
25447,ARREST,2706,Terroristic Threats.,2015-04-07T04:30:00,1100 block E carson St,South Side Flats,3
25523,ARREST,9501,Bench Warrant,2015-04-07T04:45:00,300 block LaMarido St,Brookline,6
25351,OFFENSE 2.0,3934,Theft from Vehicle,2015-04-07T05:30:00,Richey Ave,Perry North,1
25372,OFFENSE 2.0,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-07T05:35:00,1300 block Federal St N,Central Northside,1
25477,OFFENSE 2.0,4120,Identity Theft,2015-04-07T07:10:00,5400 block Kipling Rd,Squirrel Hill North,4
25499,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-04-07T07:30:00,6900 block Bishop St,Morningside,5
25373,ARREST,3502,Burglary.,2015-04-07T08:00:00,1100 block Woods Run Ave,Brighton Heights,1
25374,OFFENSE 2.0,3502,Burglary.,2015-04-07T08:00:00,1100 block Woods Run Ave,Brighton Heights,1
25448,OFFENSE 2.0,3502,Burglary.,2015-04-07T08:00:00,2400 block Brownsville Rd,Carrick,3
25500,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-07T08:19:00,5300 block Penn Ave,Bloomfield,5
24910,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-07T08:30:00,Oliver Ave & William Penn Pl,Golden Triangle/Civic Arena,2
25524,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-07T09:00:00,3600 block Middletown Rd,Windgap,6
25501,OFFENSE 2.0,3502,Burglary.,2015-04-07T09:25:00,1200 block Grotto St,Lincoln-Lemington-Belmar,5
25478,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-04-07T10:48:00,2400 block Beechwood Blvd,Squirrel Hill South,4
25525,OFFENSE 2.0,4106,Access Device Fraud,2015-04-07T11:00:00,600 block Hestor Dr,Ridgemont,6
25526,OFFENSE 2.0,4120,Identity Theft,2015-04-07T11:00:00,600 block Hestor Dr,Ridgemont,6
25479,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-07T11:53:00,300 block N Craig St,North Oakland,4
25480,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-07T11:53:00,300 block N Craig St,North Oakland,4
24002,OFFENSE 2.0,9489,Found Property,2015-04-07T12:00:00,5400 block Black St,Garfield,5
25527,OFFENSE 2.0,9999,9999 - (Misc. Incident): 9999 - (Misc. Incident): ,2015-04-07T12:10:00,800 block Brookline Blvd,Brookline,6
25449,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-04-07T12:26:00,200 block Reifert St,Knoxville,3
25450,OFFENSE 2.0,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-04-07T12:26:00,200 block Reifert St,Knoxville,3
25451,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-04-07T12:26:00,200 block Reifert St,Knoxville,3
25452,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-07T12:26:00,200 block Reifert St,Knoxville,3
25375,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-07T13:00:00,100 block Eloise St,Central Northside,1
25528,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-07T13:00:00,1500 block Fallowfield Ave,Beechview,6
25453,ARREST,13(a)(30)*,Delivery of Controlled Substance,2015-04-07T13:37:00,800 block E Warrington Ave,Bluff,3
25454,ARREST,13(a)(30),Possession w/ Intent to Del. Controlled Substance,2015-04-07T13:37:00,800 block E Warrington Ave,Bluff,3
25455,ARREST,13(a)(16),Possession of Controlled Substance,2015-04-07T13:37:00,800 block E Warrington Ave,Bluff,3
25420,ARREST,3922,Theft by Deception.,2015-04-07T13:50:00,600 block 1st Ave,Golden Triangle/Civic Arena,2
25481,OFFENSE 2.0,3928,Unauthorized Use of Automobile and Other Vehicles.,2015-04-07T14:00:00,700 block East End Ave,Regent Square,4
25456,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-07T14:30:00,Wynoka St,Carrick,3
25529,OFFENSE 2.0,9999,9999 - (Misc. Incident): Vehicle window broken by stone from train overpass,2015-04-07T14:40:00,300 block S Main St,West End,6
25502,OFFENSE 2.0,3921,Theft by Unlawful Taking or Disposition.,2015-04-07T14:45:00,6600 block Frankstown Ave,Larimer,5
25376,OFFENSE 2.0,2709(a),Harassment.,2015-04-07T15:00:00,1700 block Belleau Dr,Fineview,1
25377,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-07T15:00:00,1700 block Belleau Dr,Fineview,1
25421,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-07T15:00:00,100 block Banner Way,Central Lawrenceville,2
25530,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-07T15:00:00,3100 block Banksville Rd,Banksville,6
25531,OFFENSE 2.0,3745,Accidents Involving Damage to Unattended Veh.or Prop.,2015-04-07T15:15:00,3100 block Banksville Rd,Banksville,6
25457,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-07T15:20:00,300 block Rochelle St,Knoxville,3
25422,OFFENSE 2.0,29,Missing Juvenile,2015-04-07T15:23:00,500 block 5th Ave,Golden Triangle/Civic Arena,2
25532,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-07T15:30:00,400 block Herschel St,Elliott,6
