_id,REPORT_NAME,SECTION,DESCRIPTION,ARREST_TIME,ADDRESS,NEIGHBORHOOD,ZONE
24767,OFFENSE 2.0,9501,Bench Warrant,2015-03-31T20:50:00,800 block Delmont Ave,Beltzhoover,3
24828,ARREST,2701,Simple Assault.,2015-03-31T20:53:00,5400 block Hays St,East Liberty,5
24783,OFFENSE 2.0,13(a)(32),Paraphernalia - Use or Possession,2015-03-31T20:54:00,N Lexington St & Meade St,Point Breeze North,4
24784,OFFENSE 2.0,13(a)(16),Possession of Controlled Substance,2015-03-31T20:54:00,N Lexington St & Meade St,Point Breeze North,4
24768,ARREST,13(a)(32),Paraphernalia - Use or Possession,2015-03-31T20:55:00,800 block Delmont Ave,Beltzhoover,3
24769,ARREST,9501,Bench Warrant,2015-03-31T20:55:00,800 block Delmont Ave,Beltzhoover,3
24770,ARREST,4914,False Identification to Law Enforcement Authorities,2015-03-31T20:55:00,800 block Delmont Ave,Beltzhoover,3
24771,ARREST,9501,Bench Warrant,2015-03-31T20:55:00,800 block Delmont Ave,Beltzhoover,3
24790,OFFENSE 2.0,9498,302 (Mental),2015-03-31T22:04:00,300 block Stratford Ave,Friendship,5
24684,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-03-31T22:49:00,3400 block Fleming Ave,Brighton Heights,1
24785,OFFENSE 2.0,9999,9999 - (Misc. Incident): ,2015-03-31T23:00:00,3900 block Euler Way,North Oakland,4
24836,OFFENSE 2.0,4120,Identity Theft,2015-04-01T00:01:00,1900 block Manhattan St,Manchester,1
24837,OFFENSE 2.0,9999,9999 - (Misc. Incident): Non-Reportable Accident,2015-04-01T00:27:00,200 block East Ohio St,Allegheny Center,1
24838,OFFENSE 2.0,1501,Drivers Required to be Licensed.,2015-04-01T00:27:00,200 block East Ohio St,Allegheny Center,1
25043,OFFENSE 2.0,9496,Dead on Arrival (DOA),2015-04-01T00:35:00,1400 block Dagmar Ave,Beechview,6
24840,OFFENSE 2.0,2701,Simple Assault.,2015-04-01T00:36:00,1700 block Belleau Dr,Fineview,1
24839,OFFENSE 2.0,2705,Recklessly Endangering Another Person.,2015-04-01T00:36:00,1700 block Belleau Dr,Fineview,1
24841,OFFENSE 2.0,3304,Criminal Mischief.,2015-04-01T00:36:00,1700 block Belleau Dr,Fineview,1
24842,ARREST,3304,Criminal Mischief.,2015-04-01T00:55:00,1700 block Belleau Dr,Fineview,1
24843,ARREST,2705,Recklessly Endangering Another Person.,2015-04-01T00:55:00,1700 block Belleau Dr,Fineview,1
24844,ARREST,2701,Simple Assault.,2015-04-01T00:55:00,1700 block Belleau Dr,Fineview,1
24989,OFFENSE 2.0,4302,Periods for Requiring Lighted Lamps.,2015-04-01T01:14:00,5th Ave & Wilkins Ave,Shadyside,4
25007,OFFENSE 2.0,3502,Burglary.,2015-04-01T01:20:00,300 block N Fairmount St,Garfield,5
24845,ARREST,9501,Bench Warrant,2015-04-01T01:55:00,Western Ave & Chateau St Ramp,Chateau,1
23532,OFFENSE 2.0,2702,Aggravated Assault.,2015-04-01T02:00:00,Zone 2,Outside City,12
24846,OFFENSE 2.0,9501,Bench Warrant,2015-04-01T02:00:00,Western Ave & Chateau St Ramp,Chateau,1
24937,ARREST,2701,Simple Assault.,2015-04-01T02:27:00,100 block S 17th St,South Side Flats,3
24938,ARREST,3921(a),Theft by Unlawful Taking or Disposition - Movable item,2015-04-01T02:27:00,100 block S 17th St,South Side Flats,3
